mapping, replan, sfc, mpc, df, 
0, 0.000265, 0.00454, 0.711103, 0.003004, 
0, 0.000306, 0.005233, 0.814634, 0.002472, 
0, 0.000259, 0.003957, 0.70531, 0.002753, 
0, 0.000264, 0.004219, 0.704543, 0.016547, 
0, 0.000273, 0.004412, 0.72373, 0.004557, 
0, 0.000271, 0.004431, 0.732026, 0.003047, 
0, 0.000292, 0.004501, 0.706153, 0.002943, 
0, 0.000284, 0.004152, 0.711722, 0.003026, 
0, 0.000268, 0.003886, 0.698803, 0.002598, 
0, 0.000266, 0.004442, 0.930821, 0.003027, 
0, 0.000304, 0.006335, 0.766162, 0.004092, 
0, 0.000268, 0.00447, 0.74997, 0.002895, 
0, 0.000252, 0.003884, 0.691442, 0.002619, 
0, 0.00026, 0.004256, 0.710764, 0.002852, 
0, 0.000264, 0.004121, 0.706845, 0.003302, 
0, 0.000266, 0.004211, 0.709312, 0.002918, 
0, 0.000264, 0.004277, 0.702569, 0.003309, 
0, 0.000267, 0.004124, 0.707346, 0.003196, 
0, 0.000264, 0.004298, 0.70676, 0.002752, 
0, 0.000279, 0.004276, 0.934188, 0.031724, 
0, 0.000268, 0.004342, 0.80725, 0.003529, 
0, 0.000259, 0.005052, 0.72919, 0.004682, 
0, 0.000287, 0.004094, 0.70352, 0.002984, 
0, 0.000312, 0.004932, 1.07153, 0.003943, 
0, 0.000259, 0.004076, 0.725106, 0.002352, 
0, 0.000343, 0.005616, 0.706258, 0.003136, 
0, 0.000263, 0.004173, 0.790341, 0.004035, 
0, 0.000306, 0.004169, 0.70519, 0.00288, 
0, 0.000257, 0.004113, 0.708872, 0.002898, 
0, 0.000267, 0.004474, 0.904696, 0.003031, 
0, 0.000266, 0.004194, 0.708704, 0.003196, 
0, 0.000266, 0.004025, 0.700601, 0.002723, 
0, 0.000261, 0.004832, 0.735999, 0.00297, 
0, 0.000267, 0.00398, 0.7101, 0.002659, 
0, 0.000208, 0.00378, 0.695536, 0.002672, 
0, 0.00027, 0.004494, 0.741865, 0.002816, 
0, 0.000261, 0.004589, 0.734025, 0.003672, 
0, 0.000275, 0.004642, 0.70673, 0.002917, 
0, 0.000261, 0.004225, 0.704134, 0.003215, 
0, 0.000339, 0.00585, 1.30008, 0.004489, 
0, 12.7573, 0.129146, 2.02105, 0.00253, 
0, 0.000546, 0.101381, 1.64241, 0.001037, 
0, 0.000156, 0.077933, 2.14819, 0.002487, 
0, 0.000184, 0.092281, 2.72731, 0.003049, 
0, 0.000241, 0.08932, 3.07777, 0.002139, 
0, 0.000254, 0.090402, 2.12917, 0.00262, 
0, 0.000356, 0.138269, 2.58129, 0.002088, 
0, 0.000305, 0.152506, 2.32189, 0.002468, 
0, 0.000209, 0.087207, 2.15093, 0.002215, 
0, 0.000237, 0.084845, 1.8867, 0.002192, 
0, 0.000263, 0.651786, 4.3842, 0.002004, 
8.33134, 0.000227, 0.531499, 4.12032, 0.00253, 
0, 0.000228, 0.632481, 4.06393, 0.002391, 
0, 0.000148, 0.369589, 3.74244, 0.001347, 
0, 0.000158, 0.48159, 3.15337, 0.001423, 
0, 0.000194, 0.465295, 4.63779, 0.00153, 
0, 0.000173, 0.438157, 4.70771, 0.001407, 
0, 0.000125, 0.415745, 3.36998, 0.001553, 
0, 0.00016, 0.482269, 3.71202, 0.001862, 
0, 0.000176, 0.420604, 4.38928, 0.0017, 
0, 0.000152, 0.660764, 4.77405, 0.00202, 
7.39234, 0.000104, 0.271464, 2.75572, 0.001647, 
0, 0.00023, 0.50654, 4.48492, 0.002, 
0, 0.000205, 0.422672, 4.5557, 0.002566, 
0, 0.000155, 0.487326, 4.68317, 0.002063, 
0, 0.0002, 0.397136, 4.22792, 0.002931, 
0, 0.000207, 0.524149, 4.45132, 0.001913, 
0, 0.000236, 0.449739, 4.53637, 0.004024, 
0, 0.000182, 0.572864, 4.82289, 0.002565, 
0, 0.000262, 0.458077, 4.44939, 0.00315, 
0, 0.000217, 0.117984, 4.35249, 0.002923, 
10.186, 0.000164, 0.469382, 3.16676, 0.002398, 
0, 0.000188, 0.393197, 4.77616, 0.002285, 
0, 0.000246, 0.463727, 4.37999, 0.007002, 
0, 0.00023, 0.518015, 4.43888, 0.002158, 
0, 0.000277, 0.453252, 4.46186, 0.002753, 
0, 0.000252, 0.548604, 4.58844, 0.001608, 
0, 0.000214, 0.351105, 3.58371, 0.002069, 
0, 0.00022, 0.443727, 4.38822, 0.001783, 
0, 0.000553, 0.387265, 4.43053, 0.002473, 
0, 0.000176, 0.482122, 5.0212, 0.001579, 
7.56637, 0.000178, 0.340847, 3.57061, 0.001973, 
0, 0.000207, 0.401162, 3.01357, 0.00184, 
0, 0.00016, 0.36691, 3.81472, 0.00169, 
0, 0.000166, 0.483459, 3.96588, 0.002069, 
0, 0.000233, 0.426983, 3.89677, 0.002661, 
0, 0.000287, 0.560723, 4.10282, 0.003005, 
0, 0.000174, 0.307742, 4.12017, 0.003315, 
0, 0.000179, 0.544714, 4.38324, 0.002226, 
0, 0.000244, 0.309518, 3.95076, 0.003064, 
0, 0.000249, 0.496506, 4.86043, 0.002557, 
11.3831, 0.000414, 0.315743, 4.22879, 0.002029, 
0, 0.000174, 0.516222, 4.26246, 0.002273, 
0, 0.000235, 0.132815, 3.05494, 0.002823, 
10.6346, 0.00019, 0.329596, 2.26286, 0.001943, 
0, 0.000204, 0.533919, 4.27182, 0.02565, 
0, 0.000651, 0.559164, 5.14834, 0.003177, 
0, 0.000221, 0.543236, 4.1957, 0.00233, 
0, 0.000245, 0.589872, 4.32294, 0.002923, 
0, 0.000515, 0.621148, 6.20859, 0.003759, 
0, 0.000171, 0.467466, 4.32185, 0.001865, 
8.90789, 0.000217, 0.26425, 3.65406, 0.002991, 
0, 24.1621, 0.195532, 1.45649, 0.00142, 
0, 9.6e-05, 0.210535, 1.46538, 0.001159, 
0, 9e-05, 0.211853, 1.58824, 0.00115, 
0, 0.000215, 0.430819, 3.12595, 0.003123, 
0, 0.000256, 0.534177, 3.30183, 0.00259, 
0, 0.000292, 0.502525, 3.30798, 0.002317, 
0, 0.000258, 0.480969, 3.55845, 0.002731, 
0, 0.000193, 0.080022, 2.28917, 0.002615, 
14.304, 0.000174, 0.510001, 3.6044, 0.001573, 
0, 0.000235, 0.535109, 4.46077, 0.001971, 
0, 0.00022, 0.507336, 4.37266, 0.002024, 
0, 0.000171, 0.531954, 4.9841, 0.002045, 
0, 0.000278, 0.588025, 7.79401, 0.002592, 
0, 0.000188, 0.595555, 7.76134, 0.001734, 
0, 9.9e-05, 0.259698, 5.85238, 0.001561, 
0, 0.000256, 0.659588, 4.95066, 0.002279, 
0, 0.000196, 0.496612, 4.90958, 0.00349, 
0, 0.000164, 0.078395, 2.40038, 0.002844, 
12.7837, 0.000285, 0.397413, 3.2616, 0.001289, 
0, 0.00014, 0.229352, 1.92755, 0.001398, 
0, 0.00024, 0.520375, 5.36576, 0.002674, 
0, 0.00019, 0.523457, 5.13581, 0.003396, 
0, 0.000168, 0.499306, 5.45395, 0.002526, 
0, 0.000252, 0.443104, 5.60313, 0.002749, 
0, 0.000201, 0.480762, 4.62398, 0.002101, 
0, 0.000244, 0.629136, 4.86435, 0.00215, 
0, 0.00014, 0.452607, 3.58046, 0.001656, 
0, 0.000214, 0.355178, 3.71011, 0.018415, 
